职位名称：测试工程师, 薪资：9-14K, 公司：大连斯锐信息技术公司, 人数：1000-9999人
职位名称：软件测试工程师, 薪资：10-14K, 公司：上海微创软件, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-13K·15薪, 公司：天融信, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-15K, 公司：梭鱼金科, 人数：100-499人
职位名称：测试工程师, 薪资：8-13K, 公司：北京创思凌讯软件, 人数：20-99人
职位名称：测试工程师, 薪资：10-15K, 公司：虫洞空间, 人数：100-499人
职位名称：测试工程师, 薪资：10-15K·13薪, 公司：云势天下, 人数：100-499人
职位名称：通信测试工程师, 薪资：13-22K·14薪, 公司：友聚四海, 人数：100-499人
职位名称：游戏测试工程师, 薪资：5-10K, 公司：北京识君, 人数：20-99人
职位名称：测试工程师, 薪资：11-17K, 公司：高维数金, 人数：100-499人
职位名称：测试工程师（外派沧州）, 薪资：5-8K, 公司：凤凰网, 人数：1000-9999人
职位名称：andriod测试工程师, 薪资：9-14K, 公司：诚迈科技, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-15K, 公司：托普朗宁, 人数：100-499人
职位名称：测试工程师, 薪资：10-15K, 公司：天阳科技, 人数：20-99人
职位名称：测试工程师（互金+互金+互金）, 薪资：11-16K, 公司：瑞答科技, 人数：1000-9999人
职位名称：CTS测试工程师, 薪资：6-7K, 公司：博彦科技, 人数：10000人以上
职位名称：测试工程师, 薪资：9-12K, 公司：人民今典, 人数：20-99人
职位名称：测试工程师, 薪资：15-25K·15薪, 公司：尚德机构, 人数：500-999人
职位名称：测试工程师, 薪资：10-15K, 公司：创城, 人数：20-99人
职位名称：测试工程师-360, 薪资：8-13K, 公司：华路时代, 人数：100-499人
职位名称：测试工程师, 薪资：15-30K, 公司：梧桐车联科技, 人数：20-99人
职位名称：测试工程师, 薪资：8-15K, 公司：T2Cloud, 人数：1000-9999人
职位名称：初级软件测试工程师, 薪资：4-6K, 公司：智防工程技术研究院, 人数：100-499人
职位名称：测试工程师, 薪资：11-16K, 公司：华钦科技, 人数：20-99人
职位名称：中级测试工程师, 薪资：9-14K·13薪, 公司：爱盈利, 人数：100-499人
职位名称：测试工程师, 薪资：9-14K·14薪, 公司：经开互联, 人数：500-999人
职位名称：测试工程师, 薪资：8-13K, 公司：北京驰诺佳, 人数：1000-9999人
职位名称：测试工程师-青年路, 薪资：9-13K, 公司：科蓝软件, 人数：1000-9999人
职位名称：初中级测试工程师, 薪资：8-12K, 公司：天阳科技, 人数：100-499人
职位名称：测试工程师, 薪资：12-24K, 公司：网讯达, 人数：100-499人
职位名称：测试工程师, 薪资：5-8K·13薪, 公司：爱盈利, 人数：500-999人
职位名称：中高级测试工程师, 薪资：12-24K, 公司：魔力耳朵, 人数：10000人以上
职位名称：软件测试工程师, 薪资：9-11K, 公司：文思海辉, 人数：100-499人
职位名称：测试工程师, 薪资：12-24K, 公司：易企秀, 人数：10000人以上
职位名称：app测试工程师, 薪资：10-14K, 公司：软通动力, 人数：100-499人
职位名称：测试工程师, 薪资：8-13K·14薪, 公司：天天乐学, 人数：20-99人
职位名称：测试工程师, 薪资：13-20K·13薪, 公司：番茄大陆, 人数：20-99人
职位名称：测试工程师, 薪资：10-15K, 公司：球秘科技, 人数：100-499人
职位名称：测试工程师, 薪资：8-10K, 公司：托普朗宁, 人数：1000-9999人
职位名称：测试工程师, 薪资：9-12K, 公司：科蓝软件, 人数：20-99人
职位名称：测试工程师, 薪资：8-12K, 公司：吉道科技, 人数：500-999人
职位名称：测试工程师, 薪资：11-18K·14薪, 公司：新道科技, 人数：100-499人
职位名称：测试工程师, 薪资：13-18K, 公司：华通, 人数：20-99人
职位名称：测试工程师, 薪资：15-25K·13薪, 公司：踏歌智行, 人数：100-499人
职位名称：软件测试工程师（C++、java、python）, 薪资：10-15K, 公司：捷通华声, 人数：20-99人
职位名称：测试工程师（遥感等3S方向）, 薪资：10-15K, 公司：悦图遥感, 人数：100-499人
职位名称：测试工程师, 薪资：10-15K, 公司：中科金审, 人数：10000人以上
职位名称：测试工程师（中央国债）, 薪资：8-13K, 公司：软通动力, 人数：500-999人
职位名称：测试工程师, 薪资：11-18K, 公司：蘑菇智行, 人数：100-499人
职位名称：测试工程师（校招）, 薪资：6-10K, 公司：途游游戏, 人数：10000人以上
职位名称：硬件测试工程师, 薪资：11-18K, 公司：文思海辉技术有限公司, 人数：1000-9999人
职位名称：java测试工程师, 薪资：9-12K, 公司：燕文物流, 人数：100-499人
职位名称：测试工程师, 薪资：8-15K, 公司：异乡好居, 人数：500-999人
职位名称：测试工程师, 薪资：10-15K, 公司：桔子分期, 人数：500-999人
职位名称：软件测试工程师-小米电视业务, 薪资：16-26K·14薪, 公司：小米, 人数：10000人以上
职位名称：智能卡高级测试工程师, 薪资：15-30K, 公司：华大智宝, 人数：100-499人
职位名称：软件测试工程师, 薪资：8-13K, 公司：中软国际, 人数：10000人以上
职位名称：硬件测试工程师, 薪资：9-14K, 公司：中软国际, 人数：10000人以上
职位名称：软件测试工程师, 薪资：6-10K, 公司：贵阳语玩科技有限公司, 人数：100-499人
职位名称：电子测试工程师, 薪资：8-11K, 公司：软通动力, 人数：10000人以上
职位名称：测试工程师, 薪资：11-16K, 公司：阳光汇点, 人数：100-499人
职位名称：测试工程师, 薪资：8-13K·13薪, 公司：雷铭科技, 人数：100-499人
职位名称：测试工程师, 薪资：8-10K, 公司：文思海辉, 人数：10000人以上
职位名称：测试工程师, 薪资：15-25K·14薪, 公司：微鲤科技, 人数：100-499人
职位名称：中级测试工程师, 薪资：13-20K, 公司：联拓天际, 人数：100-499人
职位名称：测试工程师, 薪资：12-20K, 公司：信思贤, 人数：20-99人
职位名称：Web测试工程师, 薪资：12-20K·14薪, 公司：Boss直聘, 人数：1000-9999人
职位名称：测试工程师, 薪资：10-20K, 公司：好大夫在线, 人数：500-999人
职位名称：测试工程师, 薪资：7-8K, 公司：文思海辉, 人数：10000人以上
职位名称：测试工程师, 薪资：11-15K, 公司：联和利泰, 人数：20-99人
职位名称：中高级测试工程师, 薪资：11-16K, 公司：简行天下, 人数：20-99人
职位名称：测试工程师, 薪资：10-15K, 公司：博兴高科, 人数：100-499人
职位名称：测试工程师, 薪资：10-15K, 公司：伊对, 人数：500-999人
职位名称：测试工程师, 薪资：8-12K, 公司：威动科技, 人数：100-499人
职位名称：硬件测试工程师, 薪资：5-10K, 公司：北京华力创通, 人数：10000人以上
职位名称：高级测试工程师, 薪资：15-25K, 公司：赢鼎教育, 人数：100-499人
职位名称：北京测试工程师, 薪资：7-12K, 公司：中软国际, 人数：100-499人
职位名称：测试工程师, 薪资：5-10K·13薪, 公司：智邦国际, 人数：1000-9999人
职位名称：测试工程师, 薪资：9-13K, 公司：云智汇信息, 人数：1000-9999人
职位名称：通信测试工程师, 薪资：8-10K, 公司：爱可生, 人数：500-999人
职位名称：测试工程师实习生, 薪资：4-6K, 公司：启明星辰, 人数：100-499人
职位名称：大数据测试工程师, 薪资：10-15K, 公司：乐视, 人数：1000-9999人
职位名称：测试工程师, 薪资：8-10K·13薪, 公司：北京中科大洋, 人数：1000-9999人
职位名称：高级测试工程师, 薪资：11-21K·16薪, 公司：旅悦集团, 人数：1000-9999人
职位名称：测试工程师（玖富）, 薪资：12-15K, 公司：聚创管理, 人数：500-999人
职位名称：测试工程师, 薪资：8-13K, 公司：ADVANCE, 人数：500-999人
职位名称：中高级软件测试工程师, 薪资：8-11K, 公司：北京谷本信息科技..., 人数：1000-9999人
职位名称：游戏测试工程师, 薪资：6-8K, 公司：完美世界, 人数：1000-9999人
职位名称：测试工程师, 薪资：12-24K, 公司：完美世界, 人数：1000-9999人
职位名称：射频测试工程师, 薪资：7-12K·15薪, 公司：瑞斯康达, 人数：10000人以上
职位名称：中高级测试工程师, 薪资：13-18K, 公司：中科软, 人数：100-499人
职位名称：软件测试工程师, 薪资：5-8K, 公司：极联开发, 人数：10000人以上
职位名称：测试工程师（中债登）, 薪资：10-15K, 公司：软通动力集团, 人数：1000-9999人
